,iteration,objective,outcome_rewards
0,0,0.025014058,-29.868252
1,1,0.024633389,-29.89781
2,2,0.024782201,-29.976067
3,3,0.025680494,-29.703114
4,4,0.022186153,-29.904873
5,5,0.02766671,-30.12641
6,6,0.02797735,-29.10262
7,7,0.024853686,-29.161137
8,8,0.022632377,-29.773838
9,9,0.023005936,-28.507906
10,10,0.022336591,-29.434666
11,11,0.025638757,-29.211544
12,12,0.026606709,-29.35657
13,13,0.022437662,-29.819773
14,14,0.027089488,-29.749397
15,15,0.023410678,-29.45325
16,16,0.023271661,-29.270607
17,17,0.023119215,-28.944538
18,18,0.023324452,-28.492899
19,19,0.0230118,-28.957207
20,20,0.025494235,-28.597237
21,21,0.017707642,-28.910503
22,22,0.019678684,-28.618061
23,23,0.020690288,-29.33615
24,24,0.022199016,-29.05806
25,25,0.023866592,-28.690395
26,26,0.01929406,-28.693209
27,27,0.025251977,-28.614002
28,28,0.024186464,-29.20465
29,29,0.02525201,-29.453129
30,30,0.023520892,-27.96564
31,31,0.022393305,-28.249382
32,32,0.023089092,-28.354496
33,33,0.023482291,-29.89006
34,34,0.021723012,-28.89793
35,35,0.026777096,-29.52679
36,36,0.023348488,-28.794115
37,37,0.019911367,-28.246271
38,38,0.025199294,-28.932789
39,39,0.021866558,-29.049957
40,40,0.020352121,-29.33775
41,41,0.018524723,-29.30164
42,42,0.02677966,-28.153315
43,43,0.021211952,-29.41907
44,44,0.023430167,-29.282562
45,45,0.02055458,-28.915367
46,46,0.028344922,-28.903124
47,47,0.02686554,-29.055304
48,48,0.022811629,-29.154968
49,49,0.026200768,-29.129028
50,50,0.01998512,-29.02607
51,51,0.025088731,-28.727982
52,52,0.022348005,-29.164482
53,53,0.013930032,-29.257557
54,54,0.021134563,-29.489943
55,55,0.023426257,-28.841093
56,56,0.022805855,-28.331741
57,57,0.019464564,-29.624609
58,58,0.024491958,-28.947989
59,59,0.02279478,-29.182917
60,60,0.017261341,-29.513721
61,61,0.014313832,-29.837978
62,62,0.013387749,-29.29501
63,63,0.02119473,-27.926315
64,64,0.02482503,-29.204836
65,65,0.025311904,-28.77731
66,66,0.017538447,-28.980997
67,67,0.019306347,-28.965715
68,68,0.022780243,-28.348934
69,69,0.019588336,-28.49483
70,70,0.022528537,-28.502647
71,71,0.015805427,-28.499996
72,72,0.022731483,-29.159218
73,73,0.01904602,-29.685944
74,74,0.027584122,-29.241455
75,75,0.012595644,-28.72239
76,76,0.018661559,-28.322716
77,77,0.0236005,-28.474026
78,78,0.022771113,-29.536108
79,79,0.01907226,-29.292793
80,80,0.017307645,-28.107592
81,81,0.020517219,-28.399998
82,82,0.009626465,-29.256893
83,83,0.024054758,-28.65895
84,84,0.017611217,-29.244888
85,85,0.021712512,-27.842346
86,86,0.024038514,-29.373493
87,87,0.0097662285,-28.51846
88,88,0.022238258,-28.794065
89,89,0.025444593,-28.621029
90,90,0.015215015,-27.945549
91,91,0.016058186,-29.656172
92,92,0.01896314,-28.705357
93,93,0.0104905795,-28.867718
94,94,0.022504095,-29.52626
95,95,0.015441182,-28.750141
96,96,0.02191954,-28.000225
97,97,0.020059396,-29.337479
98,98,0.026759604,-29.1946
99,99,0.0236505,-28.513433
100,100,0.010096263,-28.46562
101,101,0.02092107,-29.292002
102,102,0.020830352,-29.099442
103,103,0.021861713,-28.27504
104,104,0.020030726,-28.807861
105,105,0.022093657,-29.408401
106,106,0.021942258,-28.64918
107,107,0.024340492,-28.619732
108,108,0.015830139,-28.08186
109,109,0.0227446,-29.313173
110,110,0.02275462,-28.507023
111,111,0.022219216,-28.865314
112,112,0.021812946,-29.14706
113,113,0.021762948,-28.796759
114,114,0.016149677,-29.168535
115,115,0.010498882,-28.925114
116,116,0.02281714,-28.811241
117,117,0.021436557,-28.954437
118,118,0.018095497,-28.920868
119,119,0.012561321,-29.226576
120,120,0.025437724,-28.630722
121,121,0.023546122,-28.259325
122,122,0.018828481,-29.144037
123,123,0.022116564,-29.270569
124,124,0.013936812,-28.608974
125,125,0.0229322,-29.064968
126,126,0.024160111,-28.951525
127,127,0.02094091,-28.883732
128,128,0.02138323,-29.743626
129,129,0.010454189,-29.194643
130,130,0.01742021,-28.653461
131,131,0.020698564,-28.814436
132,132,0.02068216,-28.777716
133,133,0.023458268,-28.672924
134,134,0.020938287,-29.300718
135,135,0.021040455,-29.476759
136,136,0.01908592,-27.442162
137,137,0.018388506,-29.524261
138,138,0.022082916,-29.086395
139,139,0.022175943,-29.365429
